IDS_SCENARIO_GAISERIC "Gaiseric (406)"
396994 "Flanders: enemy"
396995 "Burgundy: enemy"
396996 "Aquitaine: enemy"
396997 "Gascony: enemy"
396998 "%d remaining until your plot is discovered."

// Robert (921)

398931 "Robert was furious."
398932 "The king of the Franks had taken his lands."
398933 "Had his lands been given to another duke or even incorporated as part of the king's own domain, Robert would have been irritated, but he would have only grumbled."
398934 "No, this was far worse. The Frankish king, under the counsel of self-enriching advisors, had given his lands to the Norse; the same Norse who had killed Robert's own father."
398935 "This was not a simple bargain with raiders. This was an act intended to punish Robert."
398936 "Robert's brother Odo had once been king, elected by the Frankish dukes who overthrew a great-grandson of Charlemagne. When Odo died, another descendant of Charlemagne took the crown. This king proved to be as ineffective as his dynastic predecessor."
398937 "And as stupid."
398938 "Robert had a decision to make: could he rely on the support of the dukes to elect him king or would he need to take the kingship by force?"
398941 "Robert was crowned king. But, as the candle that burns brightest is the shortest lived, he died after only one year. He was killed in battle fighting the previous king and his Norman supporters."
398942 "Nonetheless, his seizure of power changed France forever."
398943 "Although three more descendants of Charlemagne would rule, that famous dynasty waned over the coming decades. The last of that house died in a hunting accident allowing Robert's grandson to take the throne."
398944 "Named Hugh, this grandson was called Capet. His dynasty would be known as the Capetians and rule France for eight centuries."

//
// Otto (936)
//

397001 "Lotharingia"
397002 "Franconia"
397003 "Bavaria"
397004 "Vikings"
397005 "Wends"
397006 "Magyars"
397007 "West Francia"
397008 "1. You have a population limit of 200 and cannot train gunpowder units.\n\n2. Vassals are powerful allies. Use Flares to direct their armies. You can also direct vassals individually by changing your Chat settings before using your Flare.\n\n3. Keep your vassals fighting. Vassals with large, unused armies are more likely to rebel.\n\n4. Loyalty decreases over time and based on a vassal's military population. It is increased by tributes, killing enemy units, and razing enemy buildings. If one vassal is disloyal, the loyalty of the other two will decline more rapidly.\n\n5. Lotharingia is most likely to rebel if others rebel. Franconia is prone to disloyalty, but also the most receptive to tribute. Bavaria is the most loyal but will rebel if its military is sufficiently large.\n\n6. You do not need to destroy rebellious vassals to subjugate them: only reduce their army size. In fact, it is better if they can recover to help you in your wars. For this reason, your units will only attack buildings, Villagers, and Trade Carts of disloyal vassals if you direct them to.\n\n7. If the King of West Francia believes that you are weak, he may side with your rebellious vassals. If you plan to defeat him, do so before completing the primary objectives.\n\n8. Claiming Italy will give you a big economic boost at the cost of vassal loyalty."
397009 "Your scouts report:\n\n- Otto rules as King of Germany, though his power base is limited to his Saxon homeland. The kingdom is made up of powerful duchies: Lotharingia (Green), Franconia (Cyan), and Bavaria (Blue). Together, they are a formidable power, but only a cunning king can maintain the loyalties of all three dukes.\n\n- The Vikings (Red) are a northern threat on land and sea. A fortification, called the Danework, protects their land approaches, but the Vikings can only be defeated by invading Sweden further north. The Vikings fight as infantry.\n\n- The Wends (Grey) are Slavic pagans inhabiting the dense northeastern forests. They fight with infantry, Skirmishers, and cavalry.\n\n- The Magyars (Orange) are horse nomads of the east. Their armies are made up of cavalry and Cavalry Archers, but they do have experience with sieges.\n\n- Queen Adelaide of Italy seeks a powerful ally in the south. Otto simply needs to send an embassy to claim the Kingdom of Italy. This will reduce the loyalty of the dukes, however.\n\n- Finally, West Francia (Purple) looks on Otto's exploits with interest and jealousy. The King of West Francia will likely invade if he believes that Otto is losing control over his dukes, or if Otto is too strong."
397010 "Otto the Great"
397011 "Adelaide of Italy"
397012 "Vassal Loyalty"
397013 "Lotharingia: <L Loyalty>"
397014 "Franconia: <F Loyalty>"
397015 "Bavaria: <B Loyalty>"
397016 "Lotharingia: rebellion"
397017 "Franconia: rebellion"
397018 "Bavaria: rebellion"
397019 "+ Claim the Kingdom of Italy."
397020 "+ Defeat the Vikings, Wends, and Magyars."
397021 "- Defeat West Francia."
397022 "+ Subjugate rebellious vassals."
397023 "- Tribute 1000 Gold to West Francia."
397024 "- Tribute 1000 Gold to West Francia again."
397025 "As king, your power is limited by your dukes. They always watch the balance of power between you and them and are ready to rebel if they believe themselves stronger. When loyal, however, they are key to your strength."
397026 "And you will need to be strong. Your borders are assailed on all sides: by roving Vikings to the north, stubborn Wends to the east, and Magyar hordes to the southeast."
397027 "Vassal loyalty decreases over time and with vassal military strength. You can improve loyalty by tributing, killing enemy units, and destroying enemy buildings."
397028 "Adelaide of Italy: I have a proposal for you. Be my husband and our united kingdoms will be unstoppable."
397029 "Adelaide of Italy: Come and visit me here in Italy."
397030 "Travel to Italy to be crowned King of Italy. Your vassals will become less loyal."
397031 "Adelaide of Italy: Why do you not come? Do you fear a woman's power?"
397032 "Adelaide of Italy: I knew you would listen to reason."
397033 "Vassal loyalty reduced."
397034 "<PURPLE>West Francia: You seem to have difficulty keeping your house in order, Otto. Your rebellious vassals call on my help. I will refuse them if you grant me a small donation."
397035 "<PURPLE>West Francia: You are smarter than most Saxons. I will give you credit for that."
397036 "<PURPLE>West Francia: My accountants are not so careful. I will need another donation to remain uninvolved in your little civil war. After all, the rebels are offering me your crown if I help them."
397037 "<PURPLE>West Francia: I am tired of your mismanagement of my ancestors' lands! It will be war and I will liberate your vassals from you."
397038 "<PURPLE>West Francia: I concede. Let us end this wearisome war."
397039 "%d to tribute Gold to West Francia."
397040 "A vassal is rebelling. Destroy its military to bring it back to heel."
397041 "A rebel has surrendered. Your most loyal followers now surround the chastised duke."
397042 "One of your vassals is close to rebelling."
397043 "You cannot construct Castles so close to vassal Town Centers."
397044 "Use Flares to direct the armies of your loyal vassals."

// Otto (936)
398951 "At the age of twenty-three, Otto succeeded his father as King of Germany. He was only the third king to rule who was not a descendant of the famous Charlemagne."
398952 "But rule was an understatement."
398953 "At his coronation banquet, Otto made his dukes his personal attendants, a traditional act of submission. The young king was not naïve, however. He knew that this was only a formality."
398954 "The dukes watched him carefully that night: every step he took, every word he spoke, even down to the way he held his cup. They would be watching him and his every move."
398955 "Otto had grand ambitions. He would accept nothing less than to receive the crown of the Holy Roman Emperor from the Pope himself. To achieve this, he would need his dukes strong, but he would need to be stronger…"
398961 "In the year 953, Otto's realm was racked with rebellion led by his own son. Two years later, he had cowed the rebellious dukes. And on the plain of Lechfeld, he defeated a Magyar army, ending their invasions for good."
398962 "The German soldiers acclaimed their king emperor. Seven years later, Otto was formally crowned by the Pope: the first Holy Roman Emperor."
